shopname,tags,address&tel,average,features
小豆町日本料理,标签:日本料理,地址:屯门蓝地福亨村路8号豫丰花园地下N铺   +852-35909632,-,特色: 抹茶忌廉焦糖刨冰   季节限定樱花冰   牛油果刨冰
豚王拉面(铜锣湾店) 分店,标签:日本料理   面条,地址:铜锣湾登龙街18号V Point地下4号舖   28933190,¥92,特色: 萝卜   牛腩   牛筋
合益泰小食,标签:港式小吃   小吃快餐,地址:深水埗桂林街121号地下   27200239,¥14,特色: 生牛肉河粉   手切上等牛柳河粉   椰青
好酒好蔡,标签:粤菜   中餐,地址:中环干诺道中3号中国建设银行大厦5楼全层 5/F   +852-21153388,¥1606,特色: 龙虾意面   美国肉眼牛排   草莓拿破仑
强记美食档,标签:港式小吃   小吃快餐,地址:骆克道莊士企业大厦1层临街铺面   +852-25725207,¥39,特色: 避风塘炒蟹   煲仔饭   椒盐濑尿虾
辉记车仔面,标签:小吃快餐,地址:油麻地鸦打街33号雅达商业大厦地下   ,¥35,特色: 脆香贵妃鸡半只   珊瑚芙蓉虾球皇   鲜果官燕鲜奶冻
The Iron Fairies,标签:酒吧,地址:dHongKong   +852-26036992,¥246,特色: 拿铁   西班牙咖啡   Spanish Latte
香宫,标签:粤菜 米其林二星,地址:尖沙咀么地道64号九龙香格里拉大酒店地库1层   +852-27338754,¥656,特色: 雪花肥牛   大虾   象拔蚌
Caprice(中环店),标签:法国菜   西餐 米其林二星,地址:中环金融街8号香港四季酒店6楼   +852-31968860,¥1240,特色: 炒蛋多士   蛋白炖鲜牛奶   杏汁炖蛋
Lady M Cake Boutique(国金中心...,标签:面包甜点,地址:中环金融街8号国际金融中心商场二楼2096A   +852-28651099,¥76,特色: 凤爪   虾饺   叉烧包
am.pm Hong Kong,标签:面包甜点,地址:油麻地弥敦道560誉发广场地下B铺   +852-27254318,¥39,特色: 古法炒蟹   椒盐濑尿虾   烧鸭河粉
氷屋,标签:冰淇淋,地址:香港銅鑼灣希雲街14號地鋪   +852-25291223,¥63,特色: 北海道鱼生爆丼   甘虾海胆丼   火炙狂牛丼
荣记粉面(糖街店),标签:港式小吃   小吃快餐,地址:铜锣湾糖街27号A地下   +852-28082877,¥44,特色: 双皮奶   姜汁撞奶   猪扒包
芽庄越式料理(海港城店) 分店,标签:东南亚菜,地址:尖沙咀广东道17号海港城海运大厦地下G51号铺   +852-21997779,¥145,特色: 腊味田鸡煲仔饭   窝蛋牛肉煲仔飯   白鳝煲仔饭
Rare 红馆,标签:西餐   面条,地址:香港中环摆花街9号   +852-23330186,¥261,特色: 菠萝包   咖喱牛腩饭   奶茶
榮發大排檔,标签:更多美食,地址:吳松街與廟街交會處   ,¥163,特色: 虾饺   凤爪   虾仁腐皮卷
营致会馆,标签:中餐,"地址:中环干诺道中41号盈置大厦地下G05,107及108号铺   +852-28016882",¥836,特色: 阿拉斯加蟹   南非龙虾   殿堂级海鲜套餐
% Arabica,标签:咖啡厅,地址:中環港景街1號國際金融中心1樓1050號舖   +852-23190389,¥41,特色: 黑松露炒蛋多士   冻奶茶   西煎双蛋牛油多士
牛皇星(佐敦店),标签:火锅,地址:佐敦吴松街149号   +852-21997933,¥624,特色: 米奇松饼   自助餐   卡通人物
澳洲牛奶公司(佐敦店),标签:面包甜点,地址:佐敦白加士街47号   +852-27301356,¥40,特色: 刺身   大虾天妇罗   燒菠蘿
莲香楼,标签:茶餐厅   粤菜,地址:中环威灵顿街160-164号   +852-25444556,¥86,特色: 龍蝦   海鮮   冰淇淋
避风塘兴记,标签:粤菜   中餐,地址:尖沙咀弥敦道180号宝华商业大厦1字楼   +852-27220022,¥694,特色: 及第粥   油条   鲜虾云吞
大勝丼,标签:日本料理,地址:旺角弥敦道594-596号旺角新城5楼   +852-36187488,¥107,特色: 燕窝蛋挞   羊肚菌鲜虾饺子   三色点心拼盆
义顺牛奶公司(佐敦店) 分店,标签:小吃快餐,地址:佐敦庇利金街63号   +852-27302799,¥38,特色: 晶莹鲜虾饺   脆皮鲜虾肠   蟹子烧卖皇
坤记煲仔小菜(和合益大厦店) 分店,标签:中餐,地址:西环皇后大道西263号和益大厦地下1号铺   28037209,¥114,特色: 玫瑰花瓣   牛油焦糖   茉莉花味
翠华餐厅(东涌富东店) 分店,标签:茶餐厅   粤菜,地址:东涌富东村富东广场2楼101号铺   +852-28112877,¥76,特色: 猪扒菠萝包   冻奶茶   A餐和D餐
凤城酒家(太子老店) 分店,标签:粤菜   中餐,地址:太子弥敦道749号欧亚银行大厦1-2楼   23815261,¥155,特色: 黑糖鹿丸鮮奶   皇家9号奶茶珍珠   雪絨黑糖鮮奶茶
正宗水上人氣鍋專門店(尖沙咀分...,标签:火锅,地址:油尖旺區加拿分道49号（近厚福街口）   +852-25278887,¥541,特色: 菠萝油   奶茶   得奖西多士
华星冰室,标签:茶餐厅   粤菜,地址:中西区上环信德中心澳门广场3楼3018室   +852-28046666,¥50,特色: 虾饺   蒸凤爪   肠粉
翠乐庭餐厅,标签:自助餐,地址:香港大屿山香港迪士尼乐园酒店   +852-35106000,¥348,特色: 椰汁   珍珠椰奶   椰皇
大满喜日本料理,标签:日本料理   自助餐,地址:旺角弥敦道601号创兴广场8楼   +852-36222162,¥190,特色: 龙眼冰   榴槤水晶珠   杨枝甘露
洲际酒店港畔餐厅,标签:自助餐,地址:尖沙咀梳士巴利道18号香港洲际酒店下层   +852-23132323,¥573,特色: 西班牙黑豚叉烧包   杨枝甘露   鲍鱼酥
弥敦粥面,标签:小吃快餐,地址:佐敦西贡街11号   27714285,¥43,特色: 虾子扎蹄   燕窝糕   杏仁露
天宝阁,标签:粤菜   中餐,地址:尖沙咀弥敦道20号香港喜来登酒店2楼   +852-23691111,¥516,特色: 瑞士鸡翼   梳乎厘   干炒牛河
点点心点心专门店(黃埔店),标签:茶餐厅   粤菜,地址:香港九龙红磡船澳街99F佳富楼地面   +852-23288277,¥65,特色: 菠萝油   蛋撻   温泉蛋牛肉石锅饭
Pierre Hermé(IFC),标签:面包甜点,地址:香港中环港景街1号国际金融中心商场二期2楼2029铺   +852-28335700,¥249,特色: 嫲嫲自選干鍋   毛血旺   花甲锅
龙凤冰室,标签:茶餐厅   粤菜,地址:天后电器道108号地下   26183003,¥51,特色: 五行蛇羹   腊味糯米饭   大蛇羹
THE ALLEY 鹿角巷(旺角店),标签:奶茶/果汁,地址:旺角西洋菜南街新江大樓地下三號鋪   ,¥24,特色: 蛋牛治烘底   热奶茶   南乳猪手面
金华冰厅,标签:小吃快餐,地址:旺角太子弼街47号地下   +852-23926830,¥39,特色: 冰火三层肉   杨枝甘露   鲍汁凤爪
翠园(铜锣湾广场店) 分店,标签:粤菜   中餐,地址:铜锣湾骆克道463-483号铜锣湾广场二期3楼   +852-25739339,¥129,特色: 烤虾   海胆手卷   刺身
好日咖啡店,标签:咖啡厅,地址:铜锣湾希云街12号地铺   63109268,-,特色: MOJITO   长岛冰茶   墨西哥玉米片
椰汁大王(旺角弼街店) 分店,标签:饮料冰品,地址:旺角弼街72号地下   ,¥18,特色: 冻奶茶   干炒牛河   懷舊炸鸡腿
聰嫂私房甜品(旺角店),标签:面包甜点   甜品,地址:旺角豉油街25-31號地下3號舖   +852-35800819,¥40,特色: 甜筒   香滑软雪糕   草莓软雪糕
文华厅,标签:粤菜   中餐 米其林一星,地址:中环干诺道中5号香港文华东方酒店25楼   +852-28254003,¥1082,特色: 番茄牛肉通粉   柠檬脆脆   咸柠七
陈意斋,标签:港式小吃   小吃快餐,地址:中环皇后大道中176号B   +852-25438414,¥114,特色: 波霸厚鲜奶   虎虎生风厚鲜奶   黑糖波霸
太平馆餐厅(尖沙咀店) 分店,标签:西餐,地址:尖沙咀加连威老道40号   +852-27213559,¥152,特色: 叉烧   三宝饭   烧鹅
幸運星茶餐廳,标签:茶餐厅   粤菜,地址:銅鑼灣白沙道1-3號地下   +852-28861683,¥41,特色: 招牌云吞面   鲮鱼球   鲜虾云吞
嫲嫲辣辣(尖沙咀店),标签:川菜   中餐,地址:尖沙咀厚福街9号地下J1号铺   +852-23940211,¥140,特色: 烧鹅   豉椒鹅肠   炸虾丸
蛇王新,标签:更多美食,地址:油麻地庙街36-40号永星大厦地下E铺   +852-95221809,¥47,特色: 虾饺   豉汁凤爪   烧卖皇
新香园(坚记),标签:茶餐厅   粤菜,地址:深水埗桂林街38号A地下   +852-23862748,¥32,特色: 澳洲和牛和豚肉   雪糕   自制酸奶冰激凌
利苑酒家(尖沙咀店) 分店,标签:粤菜   中餐 米其林一星,地址:尖沙咀么地道63号好时中心地库2层（近漆咸道）   +852-27221636,¥353,特色: 叉烧   烧腩仔
殿大喜屋日本料理,标签:自助餐,地址:尖沙咀金巴利道26号1楼（The One商场对面）   +852-36223000,¥269,特色: 油条   生滚鲍鱼滑鸡粥   炸俩肠粉
hard Rock 酒吧,标签:酒吧,地址:兰桂坊酒吧街   ,¥143,特色: 鮮芒果特飲
金记冰室,标签:茶餐厅   粤菜,地址:香港特別行政區灣仔區霎东街5号地下   +852-22064448,¥50,特色: 龙虾汤泡贵妃饭   金牌酱烧大虾   烤乳猪
富豪雪糕车,标签:冰淇淋,地址:金紫荆广场   ,¥8,特色: 鸡蛋仔   咖喱鱼蛋   格仔饼
胜香园,标签:港式小吃   小吃快餐,地址:中环美轮街2号排档   25448368,¥38,特色: 虾饺   凤爪   烧卖皇
老虎堂,标签:饮料冰品,地址:銅鑼灣渣甸街36號3號舖   +852-26141717,¥27,特色: 心肝宝贝   蛋黄肉粽   鱼皮
再兴烧腊饭店,标签:中餐,地址:湾仔轩尼诗道265-267号地C座   +852-25196639,¥46,特色: 烧鹅饭   冰咖啡   冰柠檬红茶
沾仔记(威灵顿街店) 分店,标签:小吃快餐,地址:中环威灵顿街98号地铺   +852-28506471,¥40,特色: 松叶蟹腿刺身   温泉蛋天妇罗   蟹腿天妇罗
裕记大饭店,标签:粤菜   中餐,地址:深井深康路9号地铺   +852-24910105,¥215,特色: 和牛拼盘   A5和牛   和牛炒饭
稻香(北海中心店) 分店,标签:茶餐厅   粤菜,地址:湾仔轩尼诗道338号北海中心2楼   +852-83008121,¥72,特色: 虾饺   凤爪   原虾烧卖皇
牛一,标签:日本料理,地址:尖沙咀乐道32-34号1楼   +852-23680888,¥179,特色: 黏线芝士黏住三文治   什莓奶昔   香芋奶昔
最掂烧味,标签:中餐   粤菜,地址:九龍長沙灣青山道368號   28818786,-,特色: 美颜花膠雞   海鲜拼盘   吃火锅
生记粥店,标签:小吃快餐,地址:电气道126号荣华大厦地下   +852-25373733,¥34,特色: 红豆烧饼   光酥饼   香蕉糕
大街小館,标签:面包甜点,地址:黄大仙银凤街16号地下   +852-23266603,-,特色: 雜錦德國腸拼盤   單骨雞翼
泰农菜馆,标签:东南亚菜,地址:九龙城九龙城南角道21-23号地铺   23820992,-,特色: 刺身   铁板雪花牛肉粒   烤羊排
南海一号,标签:中餐,地址:尖沙咀弥敦道63号国际广场30楼3001号铺   +852-24873688,¥540,特色: 虾饺皇   豉汁蒸凤爪   肠粉
利强记北角鸡蛋仔(弥敦道店) 分店,标签:港式小吃   小吃快餐,地址:尖沙咀弥敦道178号地下   ,¥19,特色: 一囗臭豆腐   屋村三鲜   黄金海中虾
稻香超级渔港(雅兰中心店) 分店,标签:茶餐厅   粤菜,地址:旺角弥敦道625及639号雅兰中心3楼3B号铺   +852-83008168,¥77,特色: 热奶茶   奶油猪   鲜虾云吞
靠得住,标签:港式小吃   小吃快餐,地址:湾仔克街7号   +852-28823268,¥75,特色: 白酒蟹肉燴飯   新鲜BB青口扁意粉   傳統英式威靈頓牛柳
棋哥烧鹅餐室,标签:港式小吃   小吃快餐,地址:轩尼诗道423-425号嘉年华商业大厦   +852-28823443,¥71,特色: 虾饺   流沙包   凤爪
蟹膳,标签:日本料理,地址:香港湾仔谭臣道3号地下   +852-28661618,¥582,特色: 圣子   鲍鱼   肥牛
和牛烧肉 纯,标签:日本料理,地址:尖沙咀家连威老道希尔顿大厦1楼3号铺   +852-27233868,¥646,特色: 热奶茶   干炒牛河   黑松露炒蛋
稻香超级渔港(弥敦酒店分店) 分店,标签:茶餐厅   粤菜,地址:佐敦弥敦道378号弥敦酒店2楼   +852-83008163,¥67,特色: 奶茶   猪仔包   咖喱牛腩
No Milkshake No Life,标签:饮料冰品   小吃快餐,地址:西环石塘咀山道31-37号地下A铺   +852-64713339,¥97,特色: 鲍汁鹅掌   阿一鲍鱼日本吉品鲍   鲍鱼海参
阿爷粥品手工涮涮锅,标签:火锅,地址:旺角登打士街43H號登打士廣場3樓   +852-25278383,¥290,特色: 龙虾泡饭   杨枝甘露   金稻鲍鱼
奇趣饼家,标签:港式小吃   小吃快餐,地址:旺角花园街135号地下   +852-23941727,¥19,特色: 什果麻糬窝夫   仲夏水果茶   蜜瓜黑毛猪
Noc Noc,标签:酒吧,地址:大埔旧墟直街28号荣丽苑地下B号铺   26646128,-,特色: 猪大肠   车仔面   瑞士鸡翅
滿屋日本料理(荃灣店),标签:日本料理   自助餐,地址:荃灣眾安街55號大鴻輝中心10樓全層   +852-36221388,¥201,特色: 叉燒煎蛋飯   太阳饭   猪排包
稻香(恒星楼店) 分店,标签:茶餐厅   粤菜,地址:尖沙咀缅甸台3号恒星楼地下   +852-83008084,¥83,特色: 鱿鱼须   鸡翅   豆腐
女人街食饭公司,标签:粤菜   中餐,地址:旺角通菜街1A-1L威达商业大厦1楼B室   +852-26851618,¥116,特色: 海鲜拼盘   安格斯牛小排   四品刺身盛合
翠华餐厅(油麻地) 分店,标签:茶餐厅   粤菜,地址:油麻地碧街41-49号地下及一楼   +852-27718080,¥67,特色: 佐贺牛   黑松露鸡肉   蕃茄煲
Starry Night,标签:更多美食,地址:大角咀博文街8号地铺   +852-26703303,-,特色: 百花脆皮乳豬   红烧大鲍翅   燒汁乾煏牛肋骨
翠园(荃新天地店) 分店,标签:粤菜   中餐,地址:荃湾杨屋道1号荃新天地1楼107号铺   29410092,¥127,特色: 蝴蝶酥   拿破仑   rose macaron
鸿褔海鲜四季火锅,标签:火锅,地址:土瓜湾落山道86号地下巷内   23650112,¥250,特色: 菠萝油+冻奶茶   脆哗奶油猪   咖喱牛腩饭
红磡冰室,标签:茶餐厅   粤菜,地址:九龙尖沙咀金马伦道38-40号金龙中心地下（港铁尖沙咀站B2出口）   35655963,¥59,特色: 棉花糖蛋糕   下午茶套餐   marie
翠华餐厅(旺角文华商场店) 分店,标签:茶餐厅   粤菜,地址:旺角砵兰街240-244号旺角文华地下   +852-23923889,¥63,特色: 猪润粥   鱼饼   猪肚粥
富临饭店阿一鲍鱼,标签:粤菜   中餐 米其林一星,地址:铜锣湾告士打道255-257号信和广场1楼   +852-28698282,¥1313,特色: 鸡尾酒   荔枝味鸡尾酒   免费杏仁
龙玺酒家,标签:粤菜   中餐,地址:尖沙咀柯士甸道西1号环球贸易广场(ICC)101楼   25689886,¥919,特色: 烧鹅   冻奶茶   蚝油菜心
La Postre(尖沙咀店),标签:西班牙菜   西餐,地址:尖沙咀厚福街8号 H8 地铺（尖沙咀H8）   +852-23888160,¥320,特色: 牛腩云吞双拼河粉   牛杂河粉   炸鱼皮
文记车仔面(福荣街店) 分店,标签:小吃快餐,地址:深水埗福荣街121号地下   +852-90595104,¥42,特色: 浜燒海鮮   一夜干魚   季节刺身特选拼盘6种
孖沙茶餐厅,标签:茶餐厅   粤菜,地址:上环禧利街23号地下   25459026,¥36,特色: 招牌烤乳猪   烧鹅   鱼翅捞饭
庙街小食,标签:小吃快餐,地址:油麻地鸦打街22号   ,¥37,特色: Break the Tear   樱花树   富士山
千贺水产の鲜锅道场,标签:日本料理   火锅,地址:铜锣湾霎东街33号智选假日酒店3楼   +852-21169784,¥233,特色: 冻奶茶   菠萝包   奶油猪
温野菜,标签:日本料理   火锅,地址:温野菜 （尖沙咀） 尖沙咀廣東道17號海港城海運大廈LCX 3樓37A號舖   21531801,¥337,特色: 刺身拼盘   极上鲔鱼(长崎产)丼   三文鱼鱼肉刺身
新同乐鱼翅酒家(美丽华店),标签:粤菜   海鲜 米其林二星,地址:尖沙咀弥敦道132号美丽华商场食四方4楼4D号铺   +852-21521417,¥906,特色: 刺身   寿司   牛油果软壳蟹
帝苑饼店,标签:面包甜点,地址:尖沙咀么地道69号帝苑酒店大堂   +852-27332045,¥149,特色: 生蠔拼盤   西班牙红虾牛油果沙拉   烤牛小排
翠华餐厅(沙田店) 分店,标签:茶餐厅   粤菜,地址:沙田沙田正街21-27号沙田广场3楼50号铺   +852-26019292,¥67,特色: 雪花肥牛   手打虾滑   日本蟹柳
SEVVA(太子大厦店),标签:西餐,地址:中环遮打道10号太子大厦25楼   25371388,¥417,特色: 人气蟹味噌甲罗烧   一手赤虾   北海道帆立贝
生记粥品专家(九龙店) 分店,标签:港式小吃   小吃快餐,地址:油麻地东方街9号地铺   27706099,¥41,特色: 沙爹锅底   顶级手切肥牛   炸鱼皮
OZONE,标签:西班牙菜   西餐,地址:尖沙咀柯士甸道西1号环球贸易广场(ICC)香港丽思卡尔顿酒店118楼   +852-22632270,¥566,特色: 牛肉船河粉   猪颈肉   Pad Thai
一乐烧鹅,标签:粤菜   中餐 米其林一星,地址:中环士丹利街34-38号地铺   +852-25243882,¥76,特色: 烧肉   海皇丁   素斋
水记大排档,标签:小吃快餐,地址:中环吉士笠街2号排挡   25419769,¥43,特色: 蛇羹   腊肠润肠双拼饭   潤腸滑雞煲仔飯
三家村水產,标签:日本料理,地址:油塘鲤鱼门崇信街三家村渡轮码头东翼 三家村渡轮码头   +852-26608798,¥484,特色: 龟苓膏   24味凉茶   凉茶
新斗记(九龙中心大厦店),标签:茶餐厅   粤菜,地址:尖沙咀亚士厘道29-39号九龙中心大厦   +852-27118898,¥283,特色: 杏仁白肺汤   正宗黄沙乳猪润   花胶猪肺汤
ZUC.CCH.ERO,标签:面包甜点   甜品,地址:銅鑼灣耀華街3號百樂中心18樓1802-3店   34279828,¥161,特色: 鱼翅   脆皮鸡   椰子炖官燕
翠华餐厅(众安街店) 分店,标签:茶餐厅   粤菜,地址:新界荃湾众安街31-33号地铺   +852-31269233,¥58,特色: 蒜香排骨   例汤   大蛏子
うまい鮨勘,标签:日本料理,地址:海港城海运大厦地下G04号铺   +852-21159956,¥439,特色: 生蚝   薯条配温泉蛋   芒果牛油果蟹肉沙律
Cafe EPURE,标签:法国菜   西餐,地址:尖沙咀廣東道3-27號海港城海洋中心4樓403號舖   ,-,特色: 四格汤底   刺身   寿司
天穴,标签:日本料理,地址:尖沙咀海港城海运大厦3楼OTE 304号铺   +852-27019881,¥648,特色: 黑王   豚王   糖心蛋
Chelsea Garden & Restaurant,标签:西班牙菜   西餐,地址:佐敦柯士甸道7号UQ Place 4楼   +852-39740822,-,特色: 法式牛排配香草牛油及薯条   香蒜牛油焗田螺   芝士配法國包
谦记火锅,标签:火锅,地址:铜锣湾谢斐道408-412号华斐商业大厦1至3字楼   28386116,¥326,特色: 流奶牛角包   杏仁牛角包   原味牛角包
秋田浜烧食堂,标签:日本料理,地址:尖沙咀天文臺圍8號地下   +852-23162288,¥501,特色: 咖喱忌廉乌冬   吉列牛便当   kobekyu秘制蛋卷
方荣记饭店,标签:中餐,地址:香港侯王道85-87号地下   23821788,¥279,特色: 味玉濃厚魚介沾麵   濃厚魚介拉麵   秘制酱油拉面
Samsen 泰面,标签:东南亚菜,地址:湾仔石水渠街68号地下   22340001,¥171,特色: 上汤碗仔翅   车仔招来大杂面   红烧吉品鲍鱼
昂坪膳坊,标签:粤菜   中餐,地址:大屿山昂坪市集第3-4号铺地下   +852-22593918,¥94,特色: 龙虾汤皇饺   脆網皮海皇鮮腸粉   雪影叉烧包
蛇王芬(中环店),标签:粤菜   中餐,地址:中环阁麟街30号地铺   +852-25431032,¥149,特色: 原味拿铁   Caramel S.   岩盐焦糖咖啡
恭和堂(铜锣湾店) 分店,标签:饮料冰品,地址:铜锣湾波斯富街87号地下   25761001,¥43,特色: 牛扑肉   牛丸   匙柄
信得过,标签:港式小吃   小吃快餐,地址:湾仔谢斐道307-311号快添大厦地下A号舖   +852-28387373,¥125,特色: 流沙包   虾饺   屎朱古力流沙包
福临门(湾仔店) 分店,标签:粤菜   中餐 米其林一星,地址:湾仔庄士敦道35-45号利文楼地下3号铺   28660663,¥1055,特色: 咸牛肉芝士炒蛋三明治   五香肉丁芝士三明治   朱古力
彭庆记,标签:粤菜   中餐 米其林一星,地址:跑马地奕荫街25号地铺   28385462,¥289,特色: 天天海南鸡饭   天天特色豆腐花   油饭
Oystermine Restaurant,标签:西餐,地址:香港九龙尖沙咀广东道33号中港城三座平台1A铺    +852-23828234,¥449,特色: 深井烧鹅   叉烧   烧鹅饭
八鍋堂·中日火鍋專門店,标签:火锅,地址:香港旺角西洋菜街1號兆萬中心3樓301號舖   +852-21512838,¥147,特色: 馳名狗仔粉   招牌火鸭翅   千味酱大杂烩
豚王拉面(威灵顿街店) 分店,标签:日本料理   面条,地址:中环威灵顿街69号地下   +852-28933190,¥91,特色: 虾饺   鲍汁凤爪   蟹籽滑烧麦
仙后餐厅,标签:法国菜   西餐,地址:湾仔皇后大道东213号胡忠大厦2楼   +852-28080882,¥607,特色: 龙虾意面   蟹肉沙拉   龙虾汤
Urban Bakery(希慎广场店),标签:面包甜点,地址:轩尼诗道500号希慎广场B2层Jasons‧Food & Living内   27953168,¥26,特色: 鰤鱼刺身   炉端烧   怀石料理
吉列牛忌廉烏冬專門店,标签:韩国料理   日本料理,地址:旺角彌敦道726號17樓   +852-37059965,¥131,特色: 椒盐濑尿虾   小炒皇   椒盐鱿鱼须
麵屋一燈,标签:日本料理   面条,地址:尖沙咀廣東道3-27號海港城海運大廈3樓LCX32號舖   +852-31023299,¥125,特色: 黑毛豬义燒大碗飯   黑松露杏片脆多士   滑蛋三文治
车品品小食,标签:港式小吃   小吃快餐,地址:大角咀埃华街92号   21809655,¥91,特色: 宇治金抹茶软雪糕   蕨饼   抹茶面
点一龙(海港城港威商场店),标签:粤菜   中餐,地址:尖沙咀广东道17号海港城港威商场G103铺   +852-21753100,¥140,特色: 溏心蛋   黑王   豚王
太平洋咖啡(东荟城店) 分店,标签:咖啡厅,地址:东涌达东路20号2F 243   21090623,¥46,特色: 冰火烧肉   流沙包   老火汤
616七桌子(黃埔店),标签:粤菜   中餐,"地址:红磡民泰街27-47号黄埔新邨J,K,L座地下B2号铺   +852-90348857",-,特色: 卤肉饭   三宝牛肉面   冬瓜茶
点心代表(尖沙咀店),标签:茶餐厅   粤菜,地址:尖沙咀弥敦道100号The ONE 3楼L308号铺   +852-28851345,¥118,特色: 蟹粉拌面   龙井虾仁   水果酒酿
安哥火锅,标签:火锅,地址:太子荔枝角道171号地铺   +852-53336760,-,特色: 老婆饼   凤梨酥   鸡蛋卷
裕兴,标签:茶餐厅   粤菜,地址:士丹利街82号铺   ,¥38,特色: 水晶鲜虾饺   凤爪   所有点心
天天海南鸡饭(铜锣湾店),标签:东南亚菜   粤菜,地址:吿士打道铜锣湾FashionWalk京士顿街9号H2舖   ,¥220,特色: 酥皮叉烧包   虾饺   鸡爪
深井陈记烧鹅酒家(新填地街店) 分店,标签:茶餐厅   粤菜,地址:旺角新填地街427-427A号   +852-23816161,¥71,特色: 抹茶冰淇淋   抹茶芝士蛋糕   抹茶卷
十八座狗仔粉,标签:港式小吃   小吃快餐,地址:旺角通菜街147號   +852-93399558,¥41,特色: truffle   Fries   草莓
美心皇宫(信德中心店) 分店,标签:更多美食,地址:上环干诺道中168-200号信德中心地库B13-B18号铺   22910988,¥129,特色: 芒果冰蛋   鸡蛋仔
CAFÉ LANDMARK(置地广场店),标签:咖啡厅,地址:中环皇后大道中15号置地广场中庭1F107-108号铺   +852-25264200,¥336,特色: 咖喱鱼蛋   鸡蛋仔   鱼蛋拼烧麦
田舍家,标签:日本料理,地址:香港尖沙咀柯士甸道西1号环球贸易广场(ICC)101楼A铺   29722666,¥1950,特色: 水煮魚   麻辣香锅   水煮鮮牛肉
荣记海鲜饭店,标签:中餐,地址:湾仔宝灵顿街21号鹅颈街市鹅颈熟食中心2楼   +852-25743870,¥149,特色: 招牌手切牛颈脊   招牌番茄蟹汤底   牛眼根
湾仔冰室,标签:港式小吃   小吃快餐,地址:湾仔谢斐道250-274号杜誌台地下9-10号铺   +852-35903395,¥72,特色: 虾饺   鲜虾腐皮卷   蟹子烧麦皇
中村藤吉(香港店),标签:面包甜点   甜品,地址:尖沙咀弥敦道132号美丽华广场一期3楼312号铺   +852-27962538,¥97,特色: 辣味烤鸡   蜜糖咖哩烤雞   蒜香水果醬油烤雞
豚王拉面(锦荣商业大厦店) 分店,标签:日本料理   面条,地址:尖沙咀棉登径28号锦荣商业大厦地下   +852-31891200,¥98,特色: 小笼包   红油抄手   虾仁炒饭
利苑酒家(圆方店) 分店,标签:粤菜   中餐,地址:九龙柯士甸道西1号圆方2068至2070号铺   ,¥403,特色: 虾饺   猪仔流沙包   凤爪
六両三,标签:中餐,地址:香港尖沙咀宜昌街3號地下   +852-34622140,¥83,特色: 抹茶甜筒   抹茶吉士   栗子红豆车轮饼
天香楼,标签:中餐,地址:香港柯士甸道18C   +852-23662414,¥1309,特色: 紅豆糕   芝麻糕   白糖糕
奇华饼家(T1非禁区店) 分店,标签:面包甜点   特产手信,地址:赤腊角香港国际机场一号客运大楼第7层离港大堂非禁区   +852-28863532,¥278,特色: 鸡蛋仔   鱼蛋仔   格仔饼
翠园(新世纪广场店) 分店,标签:粤菜   中餐,地址:旺角太子道西193号新世纪广场L6楼层603-603A号铺   +852-26289668,¥134,特色: 猪肠   油面   车仔面
添好运(将军澳店) 分店,标签:港式小吃   小吃快餐,地址:将军澳唐俊街9号POPCORN 49号铺   +852-27892803,¥66,特色: 西瓜草莓蛋糕   雜莓三重奏   明太子蟹肉白汁意粉
via tokyo,标签:冰淇淋,地址:香港九龙尖沙咀金马伦道29号A   23856388,¥63,特色: 奶茶   早餐套餐   炼奶西多士
VEA Restaurant and Lounge,标签:法国菜   西餐,地址:中环威灵顿街198号   +852-27118639,¥1565,特色: 鲍鱼   酒糟粉丝蒸元贝   脆皮滑豆腐
和记隆(大屿山店) 分店,标签:中餐,地址:大屿山昂坪360市集24号铺   21099997,-,特色: 黑松露虾饺   海胆蟹肉春卷   担担汤包
龙津美食 分店,标签:港式小吃   小吃快餐,地址:旺角登打士街43号F6号铺   ,¥19,特色: 生奶油吉士忌廉包   抹茶忌廉包   朱古力忌廉包
麻辣派对(金百利),标签:中餐   川菜,地址:銅鑼灣記利佐治街1號金百利廣場4樓R1號舖   21784898,¥166,特色: 皇朝八色小笼包   原味小笼包   麻酱油麦菜
滚得栈(油麻地店),标签:火锅,地址:油麻地砵蘭街39-41號地舖   +852-24161999,¥349,特色: 椒盐濑尿虾   避风塘辣炒蟹   蒜蓉竹蛏王
嘉丰点心专门店,标签:茶餐厅   粤菜,地址:九龙城启德道19号地下   23821298,¥48,特色: 迪士尼小炒   上汤鲜虾云吞面   椰皇元贝炖海螺
Goobne Chicken,标签:韩国料理   小吃快餐,地址:尖沙咀赫德道4号The Hart 2楼   23110001,¥181,特色: 竹蔗汁   竹蔗水   蔗汁糕
鼎泰丰(新港中心店),标签:小吃快餐   中餐,地址:尖沙咀广东道30号新港中心3楼306铺   27306928,¥142,特色: 小笼包   担担面   拉面
点点心点心专门店(沙田店) 分店,标签:茶餐厅   粤菜,地址:香港沙田沙田车站围1号连城广场1楼108号   +852-22858152,¥62,特色: 咖喱牛腩饭   牛油猪仔包   鲜虾云吞
Sweets House Cha Cha(尖沙咀店),标签:冰淇淋,地址:香港尖沙咀广东道17号海港城3楼city'super   +852-23758222,¥37,特色: 拿鐵咖啡
